,ticker,twin,name,exch,cat,country
89313,NBFB.SG,,Nolato AB (publ),STU,,Germany
16602,NCC-A.TO,x,Newfoundland Capital Corporation Limited,TOR,Broadcasting - Radio,Canada
16724,NCC-B.TO,x,Newfoundland Capital Corporation Limited,TOR,,Canada
16725,NCC-B.ST,x,NCC AB,STO,General Contractors,Sweden
28105,NCC-A.ST,x,NCC AB,STO,General Contractors,Sweden
28970,0OFO.L,,NCC AB,LSE,,United Kingdom
29042,0OFP.L,,NCC AB,LSE,,United Kingdom
89327,NCGB.F,,NCC AB,FRA,,France
16658,PCDAF,,Postmedia Network Canada Corp.,PNK,,USA
16952,PNC-B.TO,x,Postmedia Network Canada Corp.,TOR,Industrial Metals & Minerals,Canada
16953,PNC-A.TO,x,Postmedia Network Canada Corp.,TOR,,Canada
17119,NSP-B.ST,,Nordic Service Partners Holding AB,STO,,Sweden
90410,4NPB.F,,Nordic Service Partners Holding AB,FRA,,France
17208,NN-B.ST,,Nordnet AB (publ),STO,,Sweden
28870,0GTW.L,,Nordnet AB (publ),LSE,,United Kingdom
90380,N6N.F,,Nordnet AB (publ),FRA,,France
17315,NET-B.ST,,NetEnt AB (publ),STO,Multimedia & Graphics Software,Sweden
29062,0R77.L,,NetEnt AB (publ),LSE,,United Kingdom
17813,OEM-B.ST,,OEM International AB (publ),STO,Diversified Machinery,Sweden
17949,FOI-B.ST,,Fenix Outdoor International AG,STO,,Sweden
18497,OBOYA-BTA-B.ST,,OBOYA-BTA-B.ST,,,
16178,QBR-A.TO,x,Quebecor Inc.,TOR,Wireless Communications,Canada
18796,QBR-B.TO,x,Quebecor Inc.,TOR,Wireless Communications,Canada
18887,QBCRF,,Quebecor Inc.,PNK,,USA
19012,QBCAF,,Quebecor Inc.,PNK,,USA
19413,QB3.F,,Quebecor Inc.,FRA,,France
7836,Q-A.V,x,Questfire Energy Corp.,VAN,,Canada
18974,Q-B.V,x,Questfire Energy Corp.,VAN,,Canada
4446,RCI,,Rogers Communications Inc.,NYQ,Wireless Communications,USA
19575,RCI-A.TO,x,Rogers Communications Inc.,TOR,Wireless Communications,Canada
19578,RCI-B.TO,x,Rogers Communications Inc.,TOR,Wireless Communications,Canada
94849,RCIAF,,Rogers Communications Inc.,PNK,,USA
94887,RCIB.F,,Rogers Communications Inc.,FRA,,France
4538,SJR,,Shaw Communications Inc.,NYQ,CATV Systems,USA
20225,SJR-B.TO,,Shaw Communications Inc.,TOR,CATV Systems,Canada
90771,SWC.F,,Shaw Communications Inc.,FRA,,France
96926,SJR-A.V,,Shaw Communications Inc.,VAN,CATV Systems,Canada
20545,TREL-B.ST,,Trelleborg AB,STO,Diversified Machinery,Sweden
28487,0NL3.L,,Trelleborg AB,LSE,,United Kingdom
29221,TBABF,,Trelleborg AB,PNK,,USA
100017,TLLB.F,,Trelleborg AB,FRA,,France
100283,TRELB.ST,,Trelleborg AB,STO,,Sweden
20569,TEL2B.ST,,Tele2 AB (publ),STO,,Sweden
20570,TEL2-B.ST,x,Tele2 AB (publ),STO,Wireless Communications,Sweden
28069,TLTZY,,Tele2 AB (publ),PNK,,USA
28070,TLTZF,,Tele2 AB (publ),PNK,,USA
28073,TEL2-A.ST,x,Tele2 AB (publ),STO,Wireless Communications,Sweden
28789,0QE6.L,,Tele2 AB (publ),LSE,,United Kingdom
89346,NCYD.F,,Tele2 AB (publ),FRA,,France
89376,NCYC.F,,Tele2 AB (publ),FRA,,France
20625,UFLX-B.ST,,Uniflex AB (publ),STO,Staffing & Outsourcing Services,Sweden
21922,VEND-B.ST,,hubbr AB (publ),,,
77068,HUBR-B.ST,,hubbr AB (publ),STO,,Sweden
22252,ABC-B.CR,x,"BANCO DEL CARIBE, C.A. BANCO UN",CCS,,Venezuela
29146,ABC-A.CR,x,"BANCO DEL CARIBE, C.A. BANCO UN",CCS,,Venezuela
22364,EOLU-B.ST,,Eolus Vind AB,STO,Diversified Utilities,Sweden
65122,7EVB.F,,Eolus Vind AB,FRA,,France
22553,NEVI-B.ST,,New Equity Venture International AB,STO,,Sweden
22595,RABT-B.ST,,Viking Supply Ships AB (publ),,,
98693,VSSAB-B.ST,,Viking Supply Ships AB (publ),STO,,Sweden
22598,SV-B.CR,x,"INVERSIONES SELVA, C.A. CLASE '",CCS,,Venezuela
98807,SV-A.CR,x,"INVERSIONES SELVA, C.A. CLASE '",CCS,,Venezuela
22679,VICP-B.ST,x,Victoria Park AB (publ),STO,,Sweden
29020,VICP-PREF.ST,,Victoria Park AB (publ),STO,,Sweden
92309,VICP-A.ST,x,Victoria Park AB (publ),STO,,Sweden
22735,VNS-B.CR,,VENASETA 'B,CCS,,Venezuela
22875,STVA-B.ST,,Star Vault AB (publ),STO,,Sweden
23114,WALL-B.ST,,Wallenstam AB (publ),STO,Real Estate Development,Sweden
23585,WYA-B.ST,,WYA-B.ST,,,
23850,NEWA-B.ST,,New Wave Group AB (publ),STO,Textile - Apparel Clothing,Sweden
23992,NWG.F,,New Wave Group AB (publ),FRA,,France
28714,0KIZ.L,,New Wave Group AB (publ),LSE,,United Kingdom
25378,YILD-BTA-B.ST,,YILD-BTA-B.ST,,,
26087,YILD-TR-B.ST,,YILD-TR-B.ST,,,
26361,YILD-B.ST,,Yield Life Science AB,STO,,Sweden
27766,AAP-B.ST,,Arc Aroma Pure AB (publ),STO,,Sweden
27776,ELITE-B.CO,,Aarhus Elite A/S,CPH,,Denmark
27903,PAAL-B.CO,,Per Aarsleff Holding A/S,CPH,,Denmark
28026,SWOL-B.ST,,Swedol AB,STO,"Specialty Retail, Other",Sweden
28033,LOOM-B.ST,,Loomis AB (publ),STO,Business Services,Sweden
28788,LOIMF,,Loomis AB (publ),PNK,,USA
29148,0JYZ.L,,Loomis AB (publ),LSE,,United Kingdom
85616,K90.F,,Loomis AB (publ),FRA,,France
28035,LATO-B.ST,,Investment AB Latour (publ),STO,Asset Management,Sweden
28814,0NCQ.L,,Investment AB Latour (publ),LSE,,United Kingdom
28039,IAR-B.ST,,IAR Systems Group AB (publ),STO,,Sweden
28802,IARSF,,IAR Systems Group AB (publ),PNK,,USA
77302,NC91.F,,IAR Systems Group AB (publ),FRA,,France
28068,TRAN-B.ST,,Transferator AB,STO,,Sweden
28074,TAGM-B.ST,,TagMaster AB (publ),STO,Communication Equipment,Sweden
28078,SWEC-B.ST,,Sweco AB (publ),STO,General Contractors,Sweden
28079,SWEC-A.ST,,Sweco AB (publ),STO,General Contractors,Sweden
28558,0H0G.L,,Sweco AB (publ),LSE,,United Kingdom
28082,SVOL-B.ST,,Svolder AB,STO,Asset Management,Sweden
